timestep,month,day,hour,minute,in_fault,alarm,flow_ratio,temp_error,temp_error_2h_avg,t_supply,S_stuck_closed,S_stuck_open,S_supply_curve,state,diagnosed_fault
633,10,5,9,30,0,0,0.2409491433682365,-7.383650106262962e-05,-0.0001291838268289,60.00000000000001,False,False,False,not_alarmed,
634,10,5,9,40,0,0,0.2051892475446368,-5.655979226659724e-05,-0.0001194032880598,60.0,False,False,False,not_alarmed,
635,10,5,9,50,0,0,0.1647201624109739,-4.069349331103922e-05,-0.000107319521453,59.99999999999999,False,False,False,not_alarmed,
636,10,5,9,60,0,0,0.11530459259157,-2.420689751048144e-05,-9.291023700352952e-05,60.0,False,False,False,not_alarmed,
762,10,6,6,60,0,0,0.6281620280103212,-0.0004067675964201,-0.0150171522098837,60.00000000000001,False,False,False,not_alarmed,
763,10,6,7,12,0,0,0.5711701065411104,-5.011715020941665e-05,-0.0002833099490292,59.99999999999999,False,False,False,not_alarmed,
764,10,6,7,20,0,0,0.5631291132203351,-0.0001998262962636,-0.0002694347694565,60.00000000000001,False,False,False,not_alarmed,
765,10,6,7,30,0,0,0.5589436205595062,-0.0002324083964069,-0.0002736705044883,60.00000000000001,False,False,False,not_alarmed,
766,10,6,7,40,0,0,0.5551401605430322,-0.0002473076184976,-0.0002810907232637,59.99999999999999,False,False,False,not_alarmed,
767,10,6,7,50,0,0,0.5520554430016138,-0.0002584283506088,-0.0002867992088277,59.99999999999999,False,False,False,not_alarmed,
768,10,6,7,60,0,0,0.5492200357000635,-0.000269012408065,-0.0002926744819197,59.99999999999999,False,False,False,not_alarmed,
769,10,6,8,10,0,0,0.3868131375906257,-0.0001232611922894,-0.0002763269382484,60.0,False,False,False,not_alarmed,
770,10,6,8,20,0,0,0.3540336849247701,-0.0001583646048182,-0.0002595152311283,60.0,False,False,False,not_alarmed,
771,10,6,8,30,0,0,0.3395234505029944,-9.946266682447912e-05,-0.0002362395977228,60.00000000000001,False,False,False,not_alarmed,
772,10,6,8,40,0,0,0.3279071554768669,-0.0001109884240761,-0.0002129434854065,59.99999999999999,False,False,False,not_alarmed,
773,10,6,8,50,0,0,0.3185782134074121,-0.0001289526348635,-0.0001904081116119,60.0,False,False,False,not_alarmed,
774,10,6,8,60,0,0,0.3084463866083946,-7.994795510413155e-05,-0.0001631731415023,60.000000000000014,False,False,False,not_alarmed,
775,10,6,9,10,0,0,0.2869906545813936,-0.0001056821789262,-0.000167803560562,60.0,False,False,False,not_alarmed,
776,10,6,9,20,0,0,0.2651889448986133,-8.598920321034598e-05,-0.0001583171361409,60.00000000000001,False,False,False,not_alarmed,
777,10,6,9,30,0,0,0.2425435797213247,-7.276557904845049e-05,-0.0001450135680277,60.0,False,False,False,not_alarmed,
778,10,6,9,40,0,0,0.2182482586870223,-6.894152254233177e-05,-0.0001301497266981,60.0,False,False,False,not_alarmed,
779,10,6,9,50,0,0,0.1925245179094038,-4.751686261172949e-05,-0.000112573769365,60.0,False,False,False,not_alarmed,
780,10,6,9,60,0,0,0.1641732811097216,-4.042143112314989e-05,-9.352452128652544e-05,60.0,False,False,False,not_alarmed,
913,10,7,8,10,0,0,0.4573339778089098,-0.0002362442959409,-0.0022111497345047,60.0,False,False,False,not_alarmed,
914,10,7,8,20,0,0,0.434815449948954,-0.0001389054263931,-0.0002450557763416,60.0,False,False,False,not_alarmed,
915,10,7,8,30,0,0,0.4177049089741469,-0.0001570997791411,-0.0002318056715034,60.00000000000001,False,False,False,not_alarmed,
916,10,7,8,40,0,0,0.4026881159426437,-0.0001926534116556,-0.0002111396374286,60.00000000000001,False,False,False,not_alarmed,
917,10,7,8,50,0,0,0.3888595510480767,-0.0001102106525365,-0.0002018657427183,60.0,False,False,False,not_alarmed,
918,10,7,8,60,0,0,0.3756555984761623,-0.000121305848733,-0.0001947276538878,60.0,False,False,False,not_alarmed,
919,10,7,9,10,0,0,0.2821058386208154,-0.0001235301011845,-0.0001957528219858,60.00000000000001,False,False,False,not_alarmed,
920,10,7,9,20,0,0,0.2553983501480191,-0.0001061493960072,-0.0001731928594394,60.0,False,False,False,not_alarmed,
921,10,7,9,30,0,0,0.2402412899674462,-8.09693905985398e-05,-0.0001431169795787,60.0,False,False,False,not_alarmed,
922,10,7,9,40,0,0,0.225435128140597,-6.2420422189291e-05,-0.0001340099330023,60.0,False,False,False,not_alarmed,
923,10,7,9,50,0,0,0.2090333582385371,-5.236583581336163e-05,-0.0001268197217084,60.0,False,False,False,not_alarmed,
924,10,7,9,60,0,0,0.1923979332849755,-4.728823049049424e-05,-0.000119095232557,59.99999999999999,False,False,False,not_alarmed,
985,10,7,20,10,0,0,0.3416859500607466,-8.493192443026487e-05,0.0005177157384803,60.00000000000001,False,False,False,not_alarmed,
986,10,7,20,20,0,0,0.3561431455049025,-0.0001469248707266,-1.180850276523889e-05,60.0,False,False,False,not_alarmed,
987,10,7,20,30,0,0,0.3654240155222301,-0.0001357514300899,-6.425009144717109e-05,60.0,False,False,False,not_alarmed,
988,10,7,20,40,0,0,0.3730954532650637,-0.0001214415608039,-7.399727774319113e-05,60.00000000000001,False,False,False,not_alarmed,
989,10,7,20,50,0,0,0.3800011311336725,-0.0001093110290888,-7.855894937976633e-05,60.00000000000001,False,False,False,not_alarmed,
990,10,7,20,60,0,0,0.3864078256996847,-9.911567670783938e-05,-8.286567347859375e-05,59.99999999999999,False,False,False,not_alarmed,
1062,10,8,8,60,0,0,0.6971326237917717,-0.0001864126591222,-0.068381469700526,60.0,False,False,False,not_alarmed,
1063,10,8,9,10,0,0,0.6064900953173408,-0.0001380106249797,-0.0684833203524715,59.99999999999999,False,False,False,not_alarmed,
1064,10,8,9,20,0,0,0.5750118274320349,-0.0001833643453501,-0.0684773031350382,60.0,False,False,False,not_alarmed,
1065,10,8,9,30,0,0,0.5501025475152165,-0.0002460104949797,-0.0684794818574099,60.00000000000001,False,False,False,not_alarmed,
1066,10,8,9,40,0,0,0.5274642443870146,-0.0003201662732301,-0.0684913578310935,59.99999999999999,False,False,False,not_alarmed,
1067,10,8,9,50,0,0,0.5060774760953831,-0.0001613688006543,-0.0684904185275344,60.0,False,False,False,not_alarmed,
1068,10,8,9,60,0,0,0.4852594501426496,-0.0001767065026676,-0.0684905527732867,60.00000000000001,False,False,False,not_alarmed,
1069,10,8,10,10,0,0,0.4639151749276936,-0.0002273652406685,-0.0060294318941256,60.0,False,False,False,not_alarmed,
1070,10,8,10,20,0,0,0.4433769997427461,-0.0001267486321481,-0.0002151229042276,60.00000000000001,False,False,False,not_alarmed,
1071,10,8,10,30,0,0,0.4229312702581685,-0.0001471271891162,-0.0002019477815657,60.0,False,False,False,not_alarmed,
1072,10,8,10,40,0,0,0.4032278576410901,-0.0001918372084013,-0.0001891975606076,59.99999999999999,False,False,False,not_alarmed,
1073,10,8,10,50,0,0,0.3845631389178527,-0.0001173076518163,-0.0001852021352612,60.00000000000001,False,False,False,not_alarmed,
1074,10,8,10,60,0,0,0.3667587846960131,-0.0001389541848091,-0.0001812472624017,60.0,False,False,False,not_alarmed,
1075,10,8,11,11,0,0,0.2244843319059804,-1.0389832873158866e-05,-0.0001706121963929,60.00000000000001,False,False,False,not_alarmed,
1076,10,8,11,25,0,0,0.2012939802856252,-3.385997118243722e-05,-0.0001581534985456,59.99999999999999,False,False,False,not_alarmed,
1077,10,8,11,35,0,0,0.1750887639012205,-2.635558962538198e-05,-0.0001398489230994,60.0,False,False,False,not_alarmed,
1078,10,8,11,45,0,0,0.1479364033732975,-1.6797861100315004e-05,-0.0001145682220885,60.00000000000001,False,False,False,not_alarmed,
